Item_ID;UNIT;Block;Block_Seq;Grade;Subject;Cycle;Secured_Status;Scaling_Status;Content_Domain;Topic_Area;Topic;Performance_Objective;Cognitive_Domain;Item_Type;Options;Key;Maximum_Points;Label;a;b;c;Biology_Knowing;Biology_Applying;Biology_Reasoning;Chemistry_Knowing;Chemistry_Applying;Chemistry_Reasoning;Physics_Knowing;Physics_Applying;Physics_Reasoning;Earth_Knowing;Earth_Applying;Earth_Reasoning
S042003;;S07;3;8;S;4;Restricted_Use;Yes;Biology;Characteristics_and_Life_Processes_of_Organisms;2;C;Applying;MC;4;B;1;O2-CO2_exchange_in_an_animal_skin;0.69034;0.97809;0.26053;0;1;0;0;0;0;0;0;0;0;0;0
S042007;;S06;3;8;S;4;Yes;Yes;Biology;Characteristics_Classification_and_Life_Processes_of_Organisms;2;;Applying;MC;4;B;1;Lungs_in_bird/which_organ_in_frog;1.3491;0.78577;0.20058;0;1;0;0;0;0;0;0;0;0;0;0
S042015;;S05;3;8;S;4;Restricted_Use;Yes;Biology;Cells_and_Their_Functions;1;C;Knowing;MC;4;D;1;Function_of_the_cell_membrane;0.95948;0.71031;0.27855;1;0;0;0;0;0;0;0;0;0;0;0
S042016;;S01;3;8;S;4;Restricted_Use;Yes;Biology;Cells_and_Their_Functions;1;C;Knowing;MC;4;A;1;Organelle_that_produces_energy;1.01949;1.31005;0.13686;1;0;0;0;0;0;0;0;0;0;0;0
S042017;;S06;2;8;S;4;Yes;Yes;Biology;Cells_and_Their_Functions;1;;Applying;MC;4;D;1;Function_of_cell_part_X;1.07317;1.13041;0.21579;0;1;0;0;0;0;0;0;0;0;0;0
S042022;;S06;6;8;S;4;Yes;Yes;Biology;Cells_and_Their_Functions;2;;Reasoning;CR;;;1;CO2_concentration_&_photosynthesis;0.91814;0.49319;0;0;0;1;0;0;0;0;0;0;0;0;0
S042024;;S06;4;8;S;4;Yes;Yes;Biology;Cells_and_Their_Functions;2;;Knowing;MC;4;B;1;Process_of_respiration;1.28588;1.3096;0.27327;1;0;0;0;0;0;0;0;0;0;0;0
S042030;;S07;2;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;1;A;Applying;CR;;;1;What_kind_of_reproduction;0.84296;1.14662;0;0;1;0;0;0;0;0;0;0;0;0;0
S042038;;S03;2;8;S;4;Yes;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;2;;Knowing;MC;4;A;1;Where_organisms_appeared_on_Earth;0.90245;0.4715;0.15976;1;0;0;0;0;0;0;0;0;0;0;0
S042042;;S07;1;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;1;A;Knowing;MC;4;A;1;Which_organism_is_a_producer;0.76076;-0.22691;0.38936;1;0;0;0;0;0;0;0;0;0;0;0
S042049A;S042049;S05;05A;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;3;B;Applying;CR;;;1;Population_of_rabbits_and_lynxes;0.98047;-0.57872;0;0;1;0;0;0;0;0;0;0;0;0;0
S042049B;S042049;S05;05B;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;4;B;Reasoning;CR;;;1;Number_of_lynxes_in_1996_vs_2004;1.14126;0.28042;0;0;0;1;0;0;0;0;0;0;0;0;0
S042051A;S042051;S03;05A;8;S;4;Yes;Yes;Biology;Ecosystems;3;;Applying;CR;;;1;Year_of_highest_rabbit_population;0.76201;0.01842;0;0;1;0;0;0;0;0;0;0;0;0;0
S042051B;S042051;S03;05B;8;S;4;Yes;Yes;Biology;Ecosystems;3;;Applying;CR;;;1;Relation_of_rabbit-fox_populations;1.32282;0.68275;0;0;1;0;0;0;0;0;0;0;0;0;0
S042053;;S05;1;8;S;4;Restricted_Use;Yes;Biology;Human_Health;1;B;Applying;MC;4;C;1;Vaccinate_people_against_influenza;1.2259;-0.12353;0.26532;0;1;0;0;0;0;0;0;0;0;0;0
S042063;;S06;7;8;S;4;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;1;;Applying;MC;4;A;1;Which_rod_causes_the_bulb_to_light;1.0164;-1.15411;0.40083;0;0;0;0;1;0;0;0;0;0;0;0
S042064;;S07;11;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;2;A;Applying;CR;;;1;Why_oil_floats_on_top_of_water;0.85922;0.76971;0;0;0;0;0;1;0;0;0;0;0;0;0
S042065;;S07;6;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;2;A;Knowing;MC;4;C;1;Good_conductor_of_heat-electricity;0.83838;-0.55552;0.41136;0;0;0;1;0;0;0;0;0;0;0;0
S042068;;S01;6;8;S;4;Restricted_Use;Yes;Chemistry;Composition_of_Matter;1;B;Knowing;MC;4;A;1;Which_one_is_a_mixture;1.32943;0.97259;0.21552;0;0;0;1;0;0;0;0;0;0;0;0
S042073;;S06;1;8;S;4;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;4;;Knowing;MC;4;B;1;Formula_for_carbon_dioxide;0.76417;-0.71498;0.50712;0;0;0;1;0;0;0;0;0;0;0;0
S042076;;S03;6;8;S;4;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;4;;Knowing;CR;;;1;Number_of_atoms_in_H2SO4_molecule_;1.02043;0.62171;0;0;0;0;1;0;0;0;0;0;0;0;0
S042088;;S07;8;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;3;C;Applying;CR;;;1;Which_solution_is_more_dilute;0.65325;0.05992;0;0;0;0;0;1;0;0;0;0;0;0;0
S042094;;S01;9;8;S;4;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;1;B;Applying;CR;;;1;Why_plastic_bottle_cracked;0.83579;0.78783;0;0;0;0;0;0;0;0;1;0;0;0;0
S042095;;S06;5;8;S;4;Yes;Yes;Chemistry;Properties_of_Matter;3;;Knowing;MC;4;D;1;Ammonia_solution_mixed_in_vinegar_;1.03583;-0.28161;0.19876;0;0;0;1;0;0;0;0;0;0;0;0
S042104;;S07;10;8;S;4;Restricted_Use;Yes;Chemistry;Chemical_Change;2;A;Reasoning;CR;;;1;Balance_after_HCL-NaOH_are_mixed;0.91793;1.04042;0;0;0;0;0;0;1;0;0;0;0;0;0
S042110;;S07;4;8;S;4;Restricted_Use;Yes;Chemistry;Chemical_Change;1;C;Applying;MC;4;D;1;Which_nails_rusted_most;0.57331;-0.5916;0.18091;0;0;0;0;1;0;0;0;0;0;0;0
S042112;;S06;11;8;S;4;Yes;Yes;Chemistry;Chemical_Change;2;;Knowing;MC;4;D;1;Process_in_which_energy_absorbed;0.44979;-0.01214;0.18484;0;0;0;1;0;0;0;0;0;0;0;0
S042126;;S05;9;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;3;D;Knowing;MC;4;A;1;Gas_increasing_in_atmosphere;0.78427;0.27349;0.41504;0;0;0;0;0;0;0;0;0;1;0;0
S042135;;S05;13;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;2;A;Knowing;CR;;;1;Water_cycle_processes;0.79476;-0.16707;0;0;0;0;0;0;0;0;0;0;1;0;0
S042141;;S03;13;8;S;4;Yes;Yes;Earth_Science;Earth�s_Processes_Cycles_and_History;1;;Knowing;MC;4;B;1;Where_active_volcanoes_are_found;0.79195;-0.19612;0.24192;0;0;0;0;0;0;0;0;0;1;0;0
S042164;;S01;14;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;1;C;Knowing;MC;4;B;1;Result_gravitational_pull_of_moon;1.04747;0.54783;0.14544;0;0;0;0;0;0;0;0;0;1;0;0
S042176;;S05;11;8;S;4;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;2;B;Reasoning;CR;;;1;Flasks_contain_fresh_&_salt_water;1.03843;0.69409;0;0;0;0;0;0;0;0;0;1;0;0;0
S042182;;S05;6;8;S;4;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;1;A;Knowing;MC;4;C;1;Type_of_energy_compressed_spring;0.69391;-0.31119;0.21428;0;0;0;0;0;0;1;0;0;0;0;0
S042195;;S01;11;8;S;4;Restricted_Use;Yes;Physics;Electricity_and_Magnetism;1;C;Applying;CR;;;1;What_is_resistance_in_a_circuit;0.65827;1.76072;0;0;0;0;0;0;0;0;1;0;0;0;0
S042197;;S06;8;8;S;4;Yes;Yes;Physics;Electricity_and_Magnetism;2;;Reasoning;MC;4;C;1;Strength_of_a_magnet;1.09806;0.79123;0.21867;0;0;0;0;0;0;0;0;1;0;0;0
S042210;;S05;10;8;S;4;Restricted_Use;Yes;Physics;Physical_States_and_Changes_in_Matter;2;D;Knowing;MC;4;C;1;Mass/volume_of_frozen_water_;1.01756;1.5037;0.29254;0;0;0;0;0;0;1;0;0;0;0;0
S042211;;S05;12;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;1;A;Applying;CR;;;1;Forces_on_student_sitting_on_wall_;0.87797;0.16265;0;0;0;0;0;0;0;0;1;0;0;0;0
S042215;;S03;14;8;S;4;Yes;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;1;;Applying;MC;4;D;1;Diagram_of_an_eclipse_of_the_moon;0.75063;1.79416;0.23695;0;0;0;0;0;0;0;0;0;0;1;0
S042216;;S01;7;8;S;4;Restricted_Use;Yes;Physics;Light_and_Sound;1;D;Applying;MC;4;D;1;Student_reading_a_book;1.14016;0.49393;0.34823;0;0;0;0;0;0;0;1;0;0;0;0
S042217;;S07;15;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;1;A;Knowing;MC;4;B;1;Shadow_of_a_tree_on_a_sunny_day;1.71063;0.73412;0.25671;0;0;0;0;0;0;0;0;0;1;0;0
S042218;;S07;9;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;1;A;Applying;MC;4;B;1;Why_does_a_balloon_with_helium_rise;1.47435;0.53094;0.24269;0;0;0;0;0;0;0;1;0;0;0;0
S042222A;S042222;S07;05A;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;1;A;Applying;CR;;;1;Life_cycle_stage_monarch_grows;1.00089;1.23281;0;0;1;0;0;0;0;0;0;0;0;0;0
S042222B;S042222;S07;05B;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;1;A;Applying;CR;;;1;Life_cycle_stage_monarch_develops;0.98989;0.85909;0;0;1;0;0;0;0;0;0;0;0;0;0
S042222C;S042222;S07;05C;8;S;4;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;1;A;Applying;MC;4;B;1;Advantage_for_viceroy_butterfly;0.85261;0.09992;0.27046;0;1;0;0;0;0;0;0;0;0;0;0
S042228A;S042228;S05;08A;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;2;A;Reasoning;CR;;;1;Volume_of_the_neck_chain;1.44906;1.10542;0;0;0;0;0;0;1;0;0;0;0;0;0
S042228B;S042228;S05;08B;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;2;A;Reasoning;CR;;;1;Complete_table_3_with_percent_gold;1.28466;0.03285;0;0;0;0;0;0;1;0;0;0;0;0;0
S042228C;S042228;S05;08C;8;S;4;Restricted_Use;Yes;Chemistry;Properties_of_Matter;2;A;Applying;CR;;;1;Neck_chain_with_most_gold;1.52715;0.55636;0;0;0;0;0;1;0;0;0;0;0;0;0
S042238A;S042238;S03;12A;8;S;4;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;2;;Knowing;MC;4;C;1;Position_of_thermometer_;0.73338;0.79344;0.15466;0;0;0;0;0;0;1;0;0;0;0;0
S042238B;S042238;S03;12B;8;S;4;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;2;;Reasoning;CR;;;1;One_variable_kept_constant;0.77504;1.16575;0;0;0;0;0;0;0;0;0;1;0;0;0
S042238C;S042238;S03;12C;8;S;4;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;2;;Reasoning;CR;;;1;Conclusion_from_the_graph;0.9044;-0.59975;0;0;0;0;0;0;0;0;0;1;0;0;0
S042249;;S01;8;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;2;A;Knowing;MC;4;B;1;Example_of_a_lever;0.85838;0.62016;0.18505;0;0;0;0;0;0;1;0;0;0;0;0
S042257;;S05;14;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;1;C;Knowing;MC;4;B;1;What_causes_the_phases_of_the_moon;0.67439;1.16338;0.31153;0;0;0;0;0;0;0;0;0;1;0;0
S042258;;S01;1;8;S;4;Restricted_Use;Yes;Biology;Characteristics_and_Life_Processes_of_Organisms;2;C;Applying;MC;4;C;1;Function_lungs-skin-kidneys_share;0.80275;0.98988;0.17533;0;1;0;0;0;0;0;0;0;0;0;0
S042261;;S03;4;8;S;4;Yes;Yes;Biology;Cells_and_Their_Functions;1;;Knowing;CR;;;1;Life_function_of_Paramecium;0.91506;0.92899;0;1;0;0;0;0;0;0;0;0;0;0;0
S042272;;S03;10;8;S;4;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;3;;Knowing;MC;4;A;1;Molecules_of_liquid_when_it_cools;0.90155;0.22079;0.26917;0;0;0;0;0;0;1;0;0;0;0;0
S042273;;S07;12;8;S;4;Restricted_Use;Yes;Physics;Light_and_Sound;1;A;Applying;CR;;;1;Seeing_lightning_&_hearing_thunder;1.21294;0.28839;0;0;0;0;0;0;0;0;1;0;0;0;0
S042274;;S06;15;8;S;4;Yes;Yes;Physics;Light_and_Sound;1;;Knowing;MC;4;D;1;Speed_of_light_through_substances;1.44979;1.26858;0.22184;0;0;0;0;0;0;1;0;0;0;0;0
S042278;;S06;14;8;S;4;Yes;Yes;Physics;Light_and_Sound;1;;Applying;CR;;;1;Path_of_light_through_periscope;0.80435;0.75818;0;0;0;0;0;0;0;0;1;0;0;0;0
S042280;;S07;7;8;S;4;Restricted_Use;Yes;Physics;Light_and_Sound;2;B;Reasoning;MC;4;D;1;Relative_speed_of_sound;1.28941;0.25106;0.16186;0;0;0;0;0;0;0;0;1;0;0;0
S042293A;S042293;S01;10A;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;1;A;Knowing;CR;;;1;Force_causing_the_ball_to_fall;0.90963;-0.31978;0;0;0;0;0;0;0;1;0;0;0;0;0
S042293B;S042293;S01;10B;8;S;4;Restricted_Use;Yes;Physics;Forces_and_Motion;3;C;Reasoning;CR;;;1;Ball_bouncing_up_again;0.9024;1.79587;0;0;0;0;0;0;0;0;0;1;0;0;0
S042298;;S03;3;8;S;4;Yes;Yes;Biology;Ecosystems;3;;Applying;CR;;;1;Importance_of_removing_weeds;1.066;0.67932;0;0;1;0;0;0;0;0;0;0;0;0;0
S042300A;S042300;S01;04A;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;2;A;Applying;CR;;;1;O2-CO2_release-removal:_animals;1.3887;0.10253;0;0;1;0;0;0;0;0;0;0;0;0;0
S042300B;S042300;S01;04B;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;2;A;Applying;CR;;;1;O2-CO2_release-removal:_plants;0.58859;1.60293;0;0;1;0;0;0;0;0;0;0;0;0;0
S042300C;S042300;S01;04C;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;2;A;Applying;CR;;;1;O2-CO2_release-removal:_photosyn.;1.13623;0.18233;0;0;1;0;0;0;0;0;0;0;0;0;0
S042301;;S07;13;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Processes_Cycles_and_History;1;B;Knowing;CR;;;1;What_causes_an_earthquake;0.83894;0.05303;0;0;0;0;0;0;0;0;0;0;1;0;0
S042304;;S03;1;8;S;4;Yes;Yes;Biology;Characteristics_Classification_and_Life_Processes_of_Organisms;3;;Reasoning;MC;4;D;1;Conclusion_from_pulse_rate_T_graph;0.76921;-0.05894;0.14826;0;0;1;0;0;0;0;0;0;0;0;0
S042306;;S03;8;8;S;4;Yes;Yes;Chemistry;Classification_and_Composition_of_Matter;3;;Knowing;MC;4;C;1;Definition_of_a_compound;1.13223;0.98564;0.26811;0;0;0;1;0;0;0;0;0;0;0;0
S042309;;S05;4;8;S;4;Restricted_Use;Yes;Biology;Diversity_Adaptation_and_Natural_Selection;1;A;Applying;MC;4;D;1;Giraffes_with_short_and_long_necks;0.3211;1.08428;0.14353;0;1;0;0;0;0;0;0;0;0;0;0
S042312;;S07;14;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_in_the_Solar_System_and_the_Universe;1;A;Knowing;MC;4;C;1;What_rotation_of_Earth_causes;0.40462;-0.19964;0.26324;0;0;0;0;0;0;0;0;0;1;0;0
S042319;;S01;5;8;S;4;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;1;B;Reasoning;CR;;;1;Designing_plant_growth_experiment;1.3196;0.81541;0;0;0;1;0;0;0;0;0;0;0;0;0
S042400;;S01;12;8;S;4;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;2;C;Applying;CR;;;1;Wood/metal_container_to_keep_ice;1.063;0.99114;0;0;0;0;0;0;0;0;1;0;0;0;0
S042402;;S05;7;8;S;4;Restricted_Use;Yes;Physics;Energy_Transformation_and_Transfer;2;A;Applying;CR;;;1;Heat_flow_in_metal_cubes;0.88637;1.14405;0;0;0;0;0;0;0;0;1;0;0;0;0
S042403;;S03;9;8;S;4;Yes;Yes;Physics;Electricity_and_Magnetism;2;;Reasoning;CR;;;1;Find_out_if_metal_2_is_a_magnet;0.96263;0.80143;0;0;0;0;0;0;0;0;0;1;0;0;0
S042406;;S07;16;8;S;4;Restricted_Use;Yes;Earth_Science;Earth_s_Structure_and_Physical_Features;1;D;Applying;CR;;;1;Direction_river_flows;1.10547;0.68041;0;0;0;0;0;0;0;0;0;0;0;1;0
S042407;;S06;13;8;S;4;Yes;Yes;Physics;Energy_Transformations_Heat_and_Temperature;2;;Applying;CR;;;1;Which_ice_block_will_melt_first;0.52791;0.76946;0;0;0;0;0;0;0;0;1;0;0;0;0
S042408;;S05;2;8;S;4;Restricted_Use;Yes;Biology;Ecosystems;3;B;Applying;CR;;;1;Birds_can_t_survive_without_plants;0.73871;0.64962;0;0;1;0;0;0;0;0;0;0;0;0;0
S052003;;S06;1;8;S;5;Restricted_Use;Yes;Biology;Life_Cycles_Reproduction_and_Heredity;1;A;Knowing;MC;4;B;1;Annual_growth_rings;1.06226;0.22992;0.43084;1;0;0;0;0;0;0;0;0;0;0;0
S052012;;S13;3;8;S;5;Secured;Yes;Biology;Ecosystems;1;A;Knowing;MC;4;B;1;How_decomposers_get_energy;0.96614;0.42115;0.18523;1;0;0;0;0;0;0;0;0;0;0;0
S052015Z;;S11;05Z;8;S;5;Secured;Yes;Chemistry;Composition_of_Matter;1;A;Applying;CR;;;1;Symbols_represent_elements_(DERIVED);0.88337;-0.11886;0;0;0;0;0;1;0;0;0;0;0;0;0
S052021;;S13;4;8;S;5;Secured;Yes;Biology;Ecosystems;3;A;Reasoning;CR;;;1;Organism_that_competes_with_humans;0.89167;0.63573;0;0;0;1;0;0;0;0;0;0;0;0;0
