ID,a,b,Domain,Dimension,Unit,Answer_type
48,1.009118627313312,-1.7808965583545349,Space and Figures,Knowing,,Multiple-Choice
49,0.6445665142364285,-0.1932195411649431,Data and Forecasting,Problem Solving,,Multiple-Choice
50,0.5790549602541201,-0.11089969514671905,Data and Forecasting,Arguing,,Multiple-Choice
51,1.071668618633815,-0.5589730703550078,Data and Forecasting,Problem Solving,,Open-Ended
52,0.9487301557896174,-0.607221705562238,Numbers,Knowing,,Matching
53,1.1481309100956827,-0.5121242571163727,Space and Figures,Knowing,,Multiple-Choice
54,1.0721447382950928,0.047320922169568624,Numbers,Knowing,,Multiple-Choice
55,0.925327784857885,-0.26231806645084543,Data and Forecasting,Knowing,,Matching
56,0.989788674934495,-0.2570145223021892,Numbers,Knowing,,Multiple-Choice
57,0.8582068144683214,-1.024162260176105,Numbers,Knowing,,Multiple-Choice
58,1.109746781599136,-2.8151060800888406,Data and Forecasting,Problem Solving,,Matching
59,1.269822954267958,0.791707253775661,Relations and Functions,Knowing,,Multiple-Choice
60,1.232459738094746,2.3572456654879086,Numbers,Knowing,,Multiple-Choice
61,1.097529352319979,-1.2097734050736444,Numbers,Problem Solving,,Multiple-Choice
62,1.108801630530517,-0.48891934353000666,Data and Forecasting,Knowing,,Multiple-Choice
63,1.208555976658849,-1.5386022944697488,Space and Figures,Knowing,U5,Multiple-Choice
64,1.1276692968918363,-0.1387736709529036,Relations and Functions,Knowing,,Multiple-Choice
65,1.017967387280352,-0.05959025361590853,Data and Forecasting,Knowing,,Multiple-Choice
66,1.4580483574648229,-2.3063725858361326,Space and Figures,Problem Solving,,Matching
67,0.741678197124912,-0.025475273908329932,Relations and Functions,Problem Solving,,Multiple-Choice
68,1.2053563537604508,-0.8887442574164315,Data and Forecasting,Knowing,U8,Multiple-Choice
69,0.9954811433946624,-0.5453836699014687,Relations and Functions,Knowing,,Multiple-Choice
70,1.1592743262545397,0.6604104068352673,Data and Forecasting,Knowing,U2,Matching
71,1.4300669813957076,-1.7354150925606109,Space and Figures,Problem Solving,U11,Multiple-Choice
72,1.2514530261123102,0.8436179110260199,Data and Forecasting,Arguing,,Matching
73,1.0554357316921037,0.18554993006699405,Relations and Functions,Problem Solving,,Matching
74,1.0691891385996841,-0.9005738975034672,Data and Forecasting,Knowing,,Open-Ended
75,0.9793398712120271,-0.5420788721705347,Relations and Functions,Knowing,,Multiple-Choice
76,1.338390568381506,-0.8263684105611198,Data and Forecasting,Knowing,,Multiple-Choice
77,1.0019251127367836,-0.7023547551348669,Space and Figures,Knowing,U1,Multiple-Choice
78,0.9345971917689534,0.6050943558026948,Numbers,Knowing,,Multiple-Choice
79,1.1049459140872184,-1.4713193710546473,Space and Figures,Knowing,,Matching
80,0.9926746368961589,-0.7796653329104841,Relations and Functions,Knowing,,Multiple-Choice
81,1.2888010839307464,0.29263210842522125,Space and Figures,Knowing,,Multiple-Choice
82,0.9040186865902546,-1.5378299350249307,Space and Figures,Knowing,,Multiple-Choice
83,1.1754261604677967,-1.9524703971012056,Relations and Functions,Knowing,,Matching
84,1.0016109699561806,-0.36681079744353784,Relations and Functions,Problem Solving,,Matching
85,1.3041026280581076,-1.3188969576622669,Numbers,Knowing,U1,Multiple-Choice
86,1.0589072169586213,0.05301777956744669,Space and Figures,Arguing,,Multiple-Choice
87,1.1312633156804708,-1.2034445820139696,Numbers,Knowing,U11,Multiple-Choice
88,1.2513541889960063,-2.20656112970902,Data and Forecasting,Knowing,,Multiple-Choice
89,1.174235122459868,-0.47301236390379164,Data and Forecasting,Problem Solving,,Multiple-Choice
90,0.9259153521424363,0.2701834161142812,Numbers,Knowing,,Multiple-Choice
91,1.0541063143978346,-1.9687914337990287,Data and Forecasting,Knowing,,Multiple-Choice
92,0.8513187719587073,-0.9806710646976963,Relations and Functions,Arguing,,Multiple-Choice
93,1.4783481793277546,0.19096440445653884,Data and Forecasting,Knowing,,Multiple-Choice
94,1.185669328688214,-2.4257469780875405,Data and Forecasting,Problem Solving,,Matching
95,0.6015302542886667,-0.49420109839902565,Numbers,Knowing,,Multiple-Choice
96,1.2084852195863773,0.4299054975769322,Relations and Functions,Arguing,U3,Multiple-Choice
97,0.7366972581438285,-0.27724721683356396,Space and Figures,Knowing,,Multiple-Choice
98,1.547255978751707,-0.4653535703915371,Data and Forecasting,Knowing,,Matching
99,1.1249443520377762,1.3787398165377183,Space and Figures,Knowing,,Multiple-Choice
100,1.1188841493130195,-0.3580571481073376,Space and Figures,Arguing,,Multiple-Choice
101,1.2862673007228853,0.2563474129621274,Space and Figures,Knowing,,Multiple-Choice
102,1.2288849985072334,-1.54964909054164,Numbers,Knowing,,Multiple-Choice
103,1.0181652606027745,-2.6709661288727737,Space and Figures,Knowing,,Multiple-Choice
104,1.0606113911081148,-0.12201430797097595,Space and Figures,Knowing,,Multiple-Choice
105,1.2569993506516899,-2.2333102740916506,Relations and Functions,Knowing,,Multiple-Choice
106,1.0453123655660677,1.2389375578181072,Numbers,Arguing,,Matching
107,0.9030959672931368,-2.2930356593345533,Data and Forecasting,Knowing,,Multiple-Choice
108,0.9484102386254369,-0.09101992315250529,Numbers,Knowing,,Multiple-Choice
109,1.1797967155069604,0.29654425826135977,Data and Forecasting,Knowing,,Open-Ended
110,0.8187517738243832,-1.3097547302085017,Data and Forecasting,Knowing,,Multiple-Choice
111,1.0333369115023248,-0.9106391926693183,Numbers,Knowing,,Multiple-Choice
112,0.897335444012896,-0.5918463024453239,Space and Figures,Knowing,,Open-Ended
113,0.7746654969058568,-0.4374528629784117,Space and Figures,Knowing,,Multiple-Choice
114,1.0864334835623897,-0.2807566151877575,Numbers,Problem Solving,,Multiple-Choice
115,0.9988635416989089,-0.27145135282185945,Numbers,Knowing,,Multiple-Choice
116,1.1054894920358747,-0.6350771536406187,Numbers,Knowing,,Matching
117,1.1978229158023925,0.17655872900412095,Numbers,Knowing,,Open-Ended
118,1.046444094364503,-0.5510284240113607,Relations and Functions,Knowing,,Multiple-Choice
119,1.2054880046668417,-1.018224109525811,Data and Forecasting,Knowing,U12,Multiple-Choice
120,1.101898052465667,-2.218824177082428,Data and Forecasting,Problem Solving,,Multiple-Choice
121,1.061485013561511,-0.5918366441028513,Space and Figures,Knowing,,Multiple-Choice
122,1.082480433760928,-0.5707166018575421,Space and Figures,Arguing,,Open-Ended
123,0.919008198384279,0.39737882690042725,Numbers,Knowing,,Multiple-Choice
124,1.0767486844116918,-1.1634305203700737,Space and Figures,Knowing,,Multiple-Choice
125,1.2318256944075694,-0.1330143779403849,Numbers,Knowing,,Open-Ended
126,0.9820999028972098,-2.121547610712402,Data and Forecasting,Knowing,U9,Multiple-Choice
127,1.0833051041729782,-1.3122575242853105,Data and Forecasting,Arguing,,Matching
128,1.0266543721658197,-0.05911343629988941,Numbers,Knowing,,Multiple-Choice
129,1.0194922321518771,-0.10650075099545808,Numbers,Knowing,,Multiple-Choice
130,1.0857498895105397,-0.0018112295249433918,Relations and Functions,Knowing,,Multiple-Choice
131,1.1275001772219588,-2.148143039661445,Relations and Functions,Knowing,,Multiple-Choice
132,1.330649037473281,0.7251349620869024,Data and Forecasting,Knowing,,Matching
133,1.2112408345761887,-0.48342046010810596,Numbers,Arguing,,Matching
134,1.5439129851409865,-1.3933185181371308,Data and Forecasting,Knowing,U6,Matching
135,0.8761441245156019,0.31082234413736154,Numbers,Problem Solving,,Open-Ended
136,0.9864683958332451,0.4946627796267157,Numbers,Knowing,,Multiple-Choice
137,0.6898837815473151,-1.898796289239559,Numbers,Knowing,,Multiple-Choice
138,1.341642767857826,-1.1372036920322177,Numbers,Knowing,,Multiple-Choice
139,1.5949686856542042,-1.292259640272042,Space and Figures,Problem Solving,,Multiple-Choice
140,1.4343489867613028,-0.07861246086944129,Space and Figures,Knowing,,Matching
141,0.9113330294397355,-0.3072344571286392,Space and Figures,Problem Solving,,Open-Ended
142,0.920052917137598,0.07269384275540147,Data and Forecasting,Knowing,,Multiple-Choice
143,1.3665626617023174,1.0783930295226933,Data and Forecasting,Knowing,,Multiple-Choice
144,1.1843184032228973,0.8987538443930233,Numbers,Knowing,,Multiple-Choice
145,1.0039337378521338,-1.6845134357546736,Space and Figures,Knowing,,Multiple-Choice
146,1.2408584127004423,-1.3035202748559873,Numbers,Knowing,,Multiple-Choice
147,0.9181348696069856,-1.9160829580052279,Space and Figures,Knowing,,Multiple-Choice
148,1.0260592658796508,0.9497443932580346,Space and Figures,Knowing,,Multiple-Choice
149,0.9086166809765766,-0.8457078286195372,Numbers,Problem Solving,,Multiple-Choice
150,1.0858807273995534,-0.3057612916928125,Space and Figures,Knowing,,Multiple-Choice
151,1.2979291976139544,0.2760596836912317,Numbers,Knowing,,Multiple-Choice
152,1.090683599354789,-1.113240225906872,Data and Forecasting,Knowing,,Open-Ended
153,1.4504745808412978,-0.5782524680874849,Relations and Functions,Knowing,,Open-Ended
154,0.9501484828777255,0.21282718752867857,Space and Figures,Knowing,,Multiple-Choice
155,1.0179364761620895,0.7373173503478835,Data and Forecasting,Knowing,,Multiple-Choice
156,0.8210591175364479,-1.3397165217288816,Relations and Functions,Problem Solving,,Multiple-Choice
157,0.9863973346523638,-2.1533444382039044,Space and Figures,Problem Solving,,Multiple-Choice
158,1.2743220741400292,0.0608270283408332,Data and Forecasting,Problem Solving,,Multiple-Choice
159,1.343023029120167,-0.896442402239469,Relations and Functions,Knowing,,Multiple-Choice
160,0.7957189247475178,-0.06856279265579368,Data and Forecasting,Knowing,,Multiple-Choice
161,1.1026526803255692,-0.4588112884645623,Relations and Functions,Problem Solving,,Multiple-Choice
162,1.1491375169279754,0.7756414773456403,Data and Forecasting,Knowing,,Open-Ended
163,1.0588473885813525,-0.6340067815750683,Numbers,Knowing,,Multiple-Choice
164,1.2063970442345098,0.539626813866355,Numbers,Knowing,,Matching
165,0.7697702792358024,0.030380925120791602,Data and Forecasting,Knowing,,Multiple-Choice
166,1.1377055939591685,0.13851639147427974,Space and Figures,Arguing,,Multiple-Choice
167,1.3972217285650341,-1.6257174572016742,Numbers,Knowing,U3,Matching
168,1.1307472667779424,-1.438163999117247,Data and Forecasting,Knowing,,Matching
169,1.148626278650595,-0.651842083138081,Numbers,Problem Solving,,Multiple-Choice
170,0.9418198260086466,0.3274919366913486,Numbers,Knowing,,Multiple-Choice
171,0.8898421638885761,-1.3852588118923137,Numbers,Knowing,,Multiple-Choice
172,1.2517720019756389,-3.4447813809335353,Relations and Functions,Arguing,,Multiple-Choice
173,1.117196777487517,-0.2851687054286133,Data and Forecasting,Knowing,,Multiple-Choice
174,1.2949959537585936,-0.6269889516460623,Data and Forecasting,Knowing,,Multiple-Choice
175,1.371432678840007,-0.17141519826081614,Relations and Functions,Problem Solving,,Open-Ended
176,1.444576776857157,0.23634913420635795,Numbers,Knowing,,Multiple-Choice
177,1.3506906069578755,-0.2910447586861525,Space and Figures,Problem Solving,,Multiple-Choice
178,1.0404564383955366,-0.4483924087186996,Space and Figures,Knowing,,Matching
179,1.1829117949757293,-0.6886526984539001,Data and Forecasting,Knowing,,Matching
180,0.9565650870292696,-0.8945474516290295,Data and Forecasting,Knowing,U7,Multiple-Choice
181,1.3899933728139913,0.1862433378316083,Relations and Functions,Problem Solving,,Multiple-Choice
182,0.9476130569164996,-0.5469589704322234,Data and Forecasting,Knowing,,Multiple-Choice
183,1.0122135782493888,-0.6865722942046462,Space and Figures,Knowing,,Matching
184,1.150003168826569,-0.9677997744902923,Data and Forecasting,Knowing,,Multiple-Choice
185,0.9335335941973071,0.01849930623806817,Numbers,Knowing,,Multiple-Choice
186,1.5802712316252423,0.12337589508400615,Numbers,Knowing,,Open-Ended
187,0.7557788637292253,-0.3696027958583882,Data and Forecasting,Arguing,,Multiple-Choice
188,1.0376564874470293,-0.2016932247852538,Numbers,Knowing,,Open-Ended
189,1.006152876945664,-0.44513318168670934,Relations and Functions,Knowing,,Multiple-Choice
190,1.3206519001377302,-1.3098802133892766,Relations and Functions,Knowing,,Open-Ended
191,1.026353504966588,-0.07635506355899535,Data and Forecasting,Problem Solving,,Multiple-Choice
192,0.974988849486184,0.7554554841548103,Space and Figures,Knowing,,Multiple-Choice
193,1.0801665545247965,-1.2651793421769724,Space and Figures,Knowing,,Multiple-Choice
194,1.3945932315137666,0.6879700533534993,Relations and Functions,Problem Solving,,Matching
195,1.313997405426692,-2.7806739798821196,Data and Forecasting,Arguing,,Multiple-Choice
196,1.2601830390421151,2.076491246535735,Relations and Functions,Knowing,,Multiple-Choice
197,0.933769162171733,-0.9673804562119162,Numbers,Problem Solving,U7,Multiple-Choice
198,0.928451635805295,0.1409789098840205,Numbers,Knowing,,Matching
199,0.9629368790576209,-0.9305933000351536,Space and Figures,Knowing,,Multiple-Choice
200,1.1324160213561443,-0.9180439835163512,Space and Figures,Knowing,U6,Matching
201,1.4911197059780423,0.5398873921138346,Space and Figures,Problem Solving,,Multiple-Choice
202,1.023729835154267,-0.2571444599826904,Space and Figures,Knowing,,Matching
203,0.986572410067764,0.45968659684308466,Space and Figures,Problem Solving,,Matching
204,1.1787911456563864,-1.9823713301195736,Numbers,Knowing,,Multiple-Choice
205,1.6070209121052326,-1.3326929851193348,Relations and Functions,Arguing,U3,Multiple-Choice
206,1.3510343356413341,-0.5731652900629041,Data and Forecasting,Knowing,,Multiple-Choice
207,1.2314114018581364,-1.3730108895558224,Relations and Functions,Arguing,,Multiple-Choice
208,1.3216022836720036,-0.3511029913076279,Numbers,Arguing,,Multiple-Choice
209,1.1127637932055392,-1.2353646324308265,Data and Forecasting,Knowing,,Open-Ended
210,1.0009405216477778,-0.01896435263480256,Relations and Functions,Problem Solving,U1,Multiple-Choice
211,0.8324061995161061,-0.4268431459743144,Numbers,Arguing,,Multiple-Choice
212,0.9937761839955286,-0.6577059895071926,Data and Forecasting,Knowing,,Multiple-Choice
213,1.2011548703903792,-1.2748459455851728,Numbers,Knowing,U6,Multiple-Choice
214,1.14907739341207,-1.7043169114263859,Data and Forecasting,Arguing,,Multiple-Choice
215,1.3460346613075391,-1.4452310588998976,Space and Figures,Problem Solving,,Matching
216,1.3387222123059925,-1.4611961240571247,Space and Figures,Problem Solving,,Multiple-Choice
217,1.0664217986512645,-0.9225032749488905,Space and Figures,Problem Solving,,Multiple-Choice
218,1.380777652159998,-1.6092927682508482,Numbers,Knowing,,Multiple-Choice
219,1.097351202370459,-0.5791167172571251,Space and Figures,Problem Solving,,Multiple-Choice
220,1.114694707845083,0.06546553203595507,Space and Figures,Knowing,,Multiple-Choice
221,1.1836440764016627,-0.007513561782548583,Data and Forecasting,Knowing,,Multiple-Choice
222,1.1874820751378945,-0.764954069481864,Numbers,Arguing,,Multiple-Choice
223,0.9489125013654769,-1.2299755585579129,Space and Figures,Problem Solving,,Multiple-Choice
224,1.1661236071606855,-1.439729535618822,Numbers,Knowing,,Multiple-Choice
225,1.5279310584145644,0.779841170708813,Data and Forecasting,Knowing,,Multiple-Choice
226,1.0096427168374258,-1.6579083165618962,Space and Figures,Arguing,,Multiple-Choice
227,1.0041121895977614,2.501518639931745,Data and Forecasting,Arguing,,Open-Ended
228,0.8439892279404231,-0.9955277121021775,Space and Figures,Knowing,,Multiple-Choice
229,0.5895396717306528,0.014928424486058356,Space and Figures,Problem Solving,,Multiple-Choice
230,1.1528572847991507,0.6146983496529864,Space and Figures,Knowing,U8,Multiple-Choice
231,1.1366436521366148,-0.8123332886517007,Numbers,Knowing,,Multiple-Choice
232,0.9093954820001809,-1.8485754845967048,Data and Forecasting,Knowing,,Multiple-Choice
233,1.4277239426693684,-1.0107581627095181,Space and Figures,Problem Solving,,Multiple-Choice
234,0.9786566623654704,-1.3591455827213486,Relations and Functions,Knowing,,Matching
235,1.4307693235263488,-2.6326241095216165,Numbers,Knowing,,Multiple-Choice
236,1.2237677469880466,0.5200437139601223,Relations and Functions,Knowing,,Multiple-Choice
237,1.063586017297161,-0.9706559607711693,Space and Figures,Arguing,,Multiple-Choice
238,1.0116941072402834,0.35641754044574037,Space and Figures,Knowing,,Open-Ended
239,0.8107034761844388,0.1768073420813241,Data and Forecasting,Knowing,U2,Multiple-Choice
240,1.2063003094588665,1.0596048010741934,Data and Forecasting,Knowing,,Multiple-Choice
241,1.0944759458777278,0.5330805236297839,Relations and Functions,Problem Solving,,Multiple-Choice
242,0.7524887559639888,-0.18043375874124884,Numbers,Knowing,,Multiple-Choice
243,1.4486888991821743,-1.8426934802430912,Numbers,Knowing,,Multiple-Choice
244,1.1064113875139772,-0.7040623133488294,Data and Forecasting,Problem Solving,,Multiple-Choice
245,0.9368095482399451,-2.1527718677792933,Numbers,Knowing,U9,Multiple-Choice
246,1.1784320440333125,-0.4916686685910053,Numbers,Knowing,,Multiple-Choice
247,1.0799715820023825,-0.57606326122018,Numbers,Knowing,,Matching
248,0.8526916034494592,-0.663426822675303,Numbers,Arguing,,Open-Ended
249,0.9081289528157672,-0.5205800597716169,Numbers,Arguing,,Open-Ended
250,1.0692737397983272,0.42194371361409033,Relations and Functions,Knowing,U4,Matching
251,1.011704415291447,0.20089592043766424,Numbers,Problem Solving,,Multiple-Choice
252,1.2483600289478147,-0.5569890644110623,Relations and Functions,Knowing,,Multiple-Choice
253,1.1163798320590756,-0.9045286668893691,Data and Forecasting,Knowing,,Multiple-Choice
254,1.4755484046805392,0.312263343951633,Numbers,Arguing,,Multiple-Choice
255,1.091525429868462,0.07328507589446698,Numbers,Knowing,,Multiple-Choice
256,1.4798608957410033,-0.34691408010939734,Numbers,Knowing,,Multiple-Choice
257,1.5051888069170003,-0.05948693944974148,Numbers,Knowing,,Matching
258,1.5958379016442186,0.14463654482631794,Data and Forecasting,Arguing,U4,Multiple-Choice
259,0.9083017288141622,0.052992862275797026,Data and Forecasting,Knowing,,Multiple-Choice
260,1.3200101769421497,-0.7289227711797943,Data and Forecasting,Arguing,,Multiple-Choice
261,1.2332643287385343,-0.9890286848412515,Space and Figures,Problem Solving,,Multiple-Choice
262,0.9502819484246035,0.08774989660178212,Space and Figures,Problem Solving,U7,Matching
263,0.8299544409537019,-1.9424309821588301,Numbers,Problem Solving,,Multiple-Choice
264,1.412047314140488,-1.5474035291144579,Space and Figures,Knowing,,Multiple-Choice
265,1.2599211189723225,-1.4147435243769428,Relations and Functions,Problem Solving,,Multiple-Choice
266,1.5116187453947758,0.07008544653846172,Space and Figures,Knowing,,Multiple-Choice
267,0.9656864230122586,-2.2428411805580177,Data and Forecasting,Knowing,,Multiple-Choice
268,1.3219453907471546,-2.266184820066383,Numbers,Knowing,,Multiple-Choice
269,0.7894338592614967,-1.5918401154364892,Data and Forecasting,Knowing,,Matching
270,1.706645485578076,-0.3390982909064955,Data and Forecasting,Knowing,,Multiple-Choice
271,1.3436879449255354,-0.4980763192809435,Data and Forecasting,Arguing,U8,Multiple-Choice
272,1.0557610008054477,-0.3265921160093559,Numbers,Knowing,,Open-Ended
273,0.7183259032671921,-0.29832742327787587,Space and Figures,Problem Solving,,Matching
274,0.8383910027475162,-0.591107205333865,Data and Forecasting,Knowing,,Multiple-Choice
275,1.405504490761091,0.24040635159001245,Space and Figures,Problem Solving,,Multiple-Choice
276,1.0161765131942575,-1.715842783300345,Data and Forecasting,Knowing,,Multiple-Choice
277,1.2722978708062107,-0.4626965189463095,Data and Forecasting,Knowing,,Multiple-Choice
278,0.8845481468684648,0.3148563079733757,Space and Figures,Problem Solving,,Multiple-Choice
279,0.9565204019848877,0.23016206200694678,Numbers,Knowing,,Multiple-Choice
280,1.2172114220766395,-1.6839584950442306,Relations and Functions,Knowing,,Multiple-Choice
281,1.069694191771547,-1.1570230970830986,Relations and Functions,Knowing,,Open-Ended
282,1.1394584590976293,-0.7661274022965584,Space and Figures,Problem Solving,,Multiple-Choice
283,1.0058480396201013,-0.9824593839571644,Data and Forecasting,Knowing,,Multiple-Choice
284,1.2161295338929916,0.5252218709048474,Relations and Functions,Knowing,,Multiple-Choice
285,1.0999388744159584,0.48479398913051697,Data and Forecasting,Knowing,,Multiple-Choice
286,0.9269767067022676,0.4544812235103278,Space and Figures,Problem Solving,,Multiple-Choice
287,1.0844337415859164,-1.3402792897271802,Numbers,Knowing,,Matching
288,1.0036806809425596,-1.2289081202661252,Space and Figures,Knowing,U5,Multiple-Choice
289,1.178703196766334,0.2862106790754463,Data and Forecasting,Problem Solving,,Multiple-Choice
290,0.9579634222432163,-0.2201404952713636,Numbers,Knowing,,Multiple-Choice
291,1.2397086579025687,1.8919894241851654,Numbers,Arguing,,Matching
292,0.7305120835703776,0.23486015233291613,Space and Figures,Knowing,,Matching
293,1.5486000617878866,-0.6364552616234211,Relations and Functions,Knowing,U9,Multiple-Choice
294,1.1353832015221603,-1.3408053146093566,Data and Forecasting,Knowing,,Multiple-Choice
295,0.7264723258980051,0.43436827213825546,Data and Forecasting,Knowing,,Multiple-Choice
296,1.0998046289369132,-1.125690862960905,Data and Forecasting,Knowing,,Multiple-Choice
297,1.2080414499704746,0.714552634836581,Relations and Functions,Knowing,,Multiple-Choice
298,1.254506832375852,0.8388748489894816,Space and Figures,Problem Solving,U2,Matching
299,0.9841741868704768,0.36600344289251374,Relations and Functions,Knowing,,Multiple-Choice
300,1.1854650476705995,0.21388137734198653,Data and Forecasting,Problem Solving,,Multiple-Choice
